754,3769,10427,3371
1122,1945,17626,2902
257,989,2626,1499
504,849,8181,3693
1566,2248,38494,39237
1141,925,1697,3978
1882,2286,10092,11708
1344,5122,30215,23296
1534,1993,36735,10112
1058,2126,4988,10910
1204,1713,6630,14240
718,1422,17547,9649
1810,1531,14588,33090
1868,2312,8181,3157
1940,1923,43234,37522
449,1351,20804,7176
486,1501,11273,6966
1885,1654,25714,2433
1419,1446,32167,554
1008,1392,9414,14681
1276,1933,30185,19484
1689,1688,2660,6525
736,1440,15684,7831
909,1572,10356,4919
1412,8436,30431,21740
177,1058,2579,1714
136,1067,3158,2282
1572,2020,34075,1921
1430,897,20650,6521
443,704,6248,5992
1312,944,18903,9627
1626,5309,46645,6027
1972,1655,33962,12689
812,1571,6587,1553
1950,1757,43314,35156
928,1929,21549,5160
250,1180,6203,860
672,1281,16340,13720
37,1093,1373,884
126,990,3223,10646
1152,1754,27154,13968
94,2341,2099,2244
767,1230,10498,13528
1434,1556,1862,6749
1828,902,26865,14350
198,725,3074,1186
1410,846,20274,9015
401,814,5881,2986
369,636,2686,4204
516,889,7256,6461
1998,899,28659,20769
1146,880,16614,4708
172,754,2729,837
780,869,11422,3844
299,768,3138,3263
1496,1361,16576,13603
1491,957,17775,13184
1261,841,18844,6474
909,1134,15490,13132
1254,940,9010,4889
174,770,2948,1804
448,801,7569,2661
1297,755,19292,14347
938,1199,23140,9991
1280,959,18797,15092
1112,941,17011,13125
1647,989,23935,4993
836,852,12538,5698
613,824,6278,6436
1730,823,16670,6922
1463,899,21597,15814
1646,692,5265,7290
1267,861,8308,14926
1332,900,19085,416
1734,2424,34915,16010
1771,960,11008,14852
427,2196,2838,2552
927,1149,31300,5269
288,845,5063,577
201,610,1343,2470
1558,888,582,10148
301,842,923,3279
1205,819,2992,14741
65,609,321,1783
761,896,1987,2762
1077,1050,2485,16272
1198,858,787,9002
1219,957,3128,4666
99,644,443,569
485,720,1274,2036
174,702,695,1456
29,454,246,502
748,762,3140,3997
1124,829,2797,13591
179,770,570,2366
1155,884,2921,281
918,766,1325,2995
1559,961,3831,10910
1940,970,827,6635
1973,965,242,21556
1357,2117,1015,785
74,676,350,520
1858,925,4723,41823
1261,3035,6896,2618
792,978,4509,567
228,1524,1438,1619
1497,1769,5802,1440
144,1159,966,265
759,1308,2110,1646
1350,1867,6175,5064
461,1282,2461,3073
1258,1655,8802,4068
52,969,666,327
490,6381,1707,2049
1183,1789,7402,3737
1284,2004,8351,1079
996,1325,9398,3884
1557,1628,10495,9112
760,1600,5620,3787
1327,1587,9247,3406
1381,1682,9344,10943
1878,4260,6651,1530
938,951,1782,2165
600,1270,1014,2355
768,750,1013,941
135,592,626,228
932,1087,3911,1815
1716,1274,2520,3607
837,744,1875,915
1993,875,2828,1821
1772,594,1004,1427
1442,741,1795,3613
1811,949,4505,578
505,722,1362,1848
1940,2051,15883,11744
1038,1703,2918,5402
1023,1712,6418,5992
47,860,545,301
103,904,937,660
1098,1556,2895,3500
473,1382,3560,2323
300,1273,1652,1715
698,1371,1833,3053
372,1277,2664,2500
701,1324,4958,4253
1241,1647,5863,1465
685,1332,4944,4036
324,1223,506,681
1645,1765,7808,1776
652,1466,4698,2213
1450,1728,13397,5521
1244,1867,1390,280
937,1449,5234,1006
35,781,472,291
418,2562,1554,2465
1816,1448,1915,5240
9,681,359,220
1480,3353,5348,3398
1285,799,3062,280
190,604,663,405
1902,744,1771,1125
1709,753,4168,5635
1656,1456,76895,2693
1629,1270,1426,1073
774,826,2114,1814
335,631,932,824
1085,674,2688,2661
863,696,2135,5145
599,1317,2956,240
1301,1539,7114,496
1473,1946,5166,773
1512,1857,53046,8323
209,1154,1260,1111
848,1363,5861,2935
1319,2755,3293,950
1846,812,4593,154
974,733,556,1454
1242,665,441,2897
1103,693,314,2001
256,550,228,449
67,405,142,148
1945,736,555,3322
1539,674,216,345
857,677,342,1686
414,604,267,452
1066,696,370,1628
1942,737,579,20696
1101,1482,1468,3377
1351,2368,683,8203
648,1302,681,2256
725,1404,1581,1744
608,791,281,1067
1425,1918,779,1930
708,1549,543,3402
1095,1448,762,2843
787,1355,602,399
631,1257,367,1349
956,1420,378,3387
447,2998,536,871
832,952,517,216
321,745,248,213
1286,764,428,2816
1750,722,488,62324
1131,1880,879,4626
287,1075,381,1372
979,1433,681,5838
259,1247,309,1058
161,1013,348,1186
250,1186,414,1576
814,1459,653,1875
1284,1633,348,7152
1226,1510,633,2357
311,1248,455,1425
1372,1555,712,1252
452,1362,540,1246
1239,1625,734,4848
1253,1512,820,7416
236,1088,390,838
229,1075,355,294
1910,1907,625,62095
635,1763,566,1677
1750,1654,1120,3774
789,1390,679,654
1179,1396,410,2811
1949,3318,1056,4437
1613,28054,699,551
570,1070,337,517
1383,818,545,576
1318,535,439,183
1135,300,200,140
1815,343,542,365
787,275,157,247
1933,334,368,321
49,333,225,132
103,361,223,157
1298,406,610,233
786,328,225,204
1765,333,240,181
863,343,391,136
1204,340,297,253
111,309,157,107
1237,354,323,272
445,270,252,191
1823,379,531,172
713,313,163,204
503,289,269,209
1853,323,533,448
1814,1746,346,196
45,244,228,120
744,15928,262,237
1824,334,515,224
564,299,276,227
485,321,243,162
387,273,225,183
484,283,234,155
447,404,234,12267
1907,324,384,320
1210,383,152,320
545,333,238,217
1207,289,199,204
962,298,351,198
408,280,259,141
104,244,162,101
518,294,257,210
762,261,291,164
1511,321,191,312
84,216,137,111
1663,304,155,316
1354,287,184,132
101,253,156,126
826,303,181,237
416,290,227,155
45,194,126,108
1327,314,418,290
1754,279,142,209
434,298,111,149
1464,378,118,231
1912,3261,607,843
1629,399,653,347
1845,285,255,278
215,308,183,163
1536,311,503,346
1734,322,348,187
119,246,143,130
1637,312,416,223
1423,324,368,294
627,271,261,220
363,273,193,140
578,292,234,198
1128,353,387,183
1516,368,158,164
596,291,276,217
28,223,120,106
201,300,181,128
848,295,323,274
185,231,155,143
1625,360,205,202
791,316,326,134
716,339,280,135
384,258,229,95
1817,265,150,460
1876,322,282,334
1461,359,455,259
549,285,267,195
982,309,240,239
1755,309,495,471
826,311,289,95
1377,330,415,324
740,271,307,243
879,300,168,241
453,279,237,195
837,305,314,142
1203,314,371,198
961,296,315,267
152,210,166,134
1854,363,172,253
1882,358,431,237
617,287,259,219
1218,312,137,298
384,261,225,181
1980,297,482,405
154,234,147,127
954,296,253,161
1613,338,100,324
1428,421,427,285
800,275,99,262
1456,354,334,300
1405,262,176,139
1994,332,533,259
1266,343,120,263
624,305,263,182
309,280,206,142
749,330,186,198
1474,313,445,263
816,320,311,223
1986,1724,546,314
104,237,187,124
41,174,126,113
430,321,209,120
188,280,188,129
95,220,116,93
1998,324,414,270
772,278,194,149
1494,332,438,247
912,263,271,117
654,321,275,283
1270,326,407,262
1898,351,288,348
981,332,374,265
226,282,161,152
65,227,119,109
718,286,290,127
1534,327,236,332
1198,326,391,325
475,267,214,196
1555,287,460,147
489,325,234,154
893,271,327,132
183,292,166,123
674,297,242,243
1132,318,214,247
1016,285,361,214
1295,281,418,175
767,334,319,148
1670,314,472,299
